FactType,Param1,Param2,I,O,data,label
absFunction,426f80c2-78ad-4e94-8e5b-da19f22aca26,,,,,Provide Aircraft Localization
absFunction,79dd23d7-af39-4b79-892e-2f8fefbff5ff,,,,,Use Entertainment Services
absFunction,f9cabb24-100b-4e68-930a-8f35ec38c106,,,,,Watch Movie
absFunction,60dc5173-5420-44c0-bedf-ad3f6958a79d,,,,,Listen to Audio
absFunction,d26f381c-470d-4e9f-a868-cca9bd4a76f6,,,,,Browse the Internet
absFunction,45857975-71b5-4d8c-be67-0edb138873d0,,,,,Watch Moving Map
absFunction,4f4bb114-4fa9-4b49-aa38-11f7af1e86b1,,,,,Play Games
absFunction,9902c4e6-e6b7-4b11-9ed8-30c37c8e9426,,,,,Define business strategy
absFunction,41525b3e-aa1f-4002-b245-5e6c0a129fc0,,,,,Make Priority Audio Announcement
absFunction,02cf746c-0158-41cf-b626-e3a631132c1e,,,,,Adapt Entertainment Service
absFunction,7f5d8bbc-eca5-4656-a365-757543a38ab3,,,,,Broadcast Movies
absFunction,7915575a-916b-49ed-a5f0-c782e9135d68,,,,,Play Imposed Movie
absFunction,280bb458-fb27-41b5-84cf-4af9dd82f2a8,,,,,Make Audio Announcement
absFunction,f15d0666-1b4a-48d3-a2b1-4206853f1d5a,,,,,Broadcast Live Moving-Map Channel
absFunction,01a4afcf-b2ef-4562-aa09-6f6fda9f0b93,,,,,Set Flying Mode
absFunction,7bd0bcf4-2fcc-4229-81f2-8d5cdac49ac8,,,,,Update Digital Media Offer
absFunction,1cc1517f-4971-4fbd-be1c-5c83631319a5,,,,,Deploy New Digital Media
absFunction,4d274ffe-5010-4470-992c-cea2ae1587c8,,,,,Connect to Wifi Network
absFunction,dbe67e60-fb6b-4bd1-a85c-039b333e5b0b,,,,,Provide Internet Access
absFunction,d1d4b34b-685b-4c37-8db4-1d69bb16eb63,,,,,Provide Connectivity
absFunction,f4596943-e11d-425c-8b41-4ae491efd471,,,,,Play Ambiance Music
absFunction,cc39bfa2-731b-448d-a8b7-a45d1cf45a97,,,,,Broadcast Audio
absFunction,79a50368-c014-4410-aebd-627426b62614,,,,,Configure Availability Of Services
absFunction,3398fdbf-3415-4d03-a457-477324d2e091,,,,,Perform Cabin Management Activities
absFunction,cfde8bb1-4df9-4573-a516-41df984ac753,,,,,Play Airline-Imposed Videos
absFunction,64847aed-d627-4812-a2de-a5dd8d7ce573,,,,,Launch Pre-Flight Tests
absFunction,3688cf59-97ee-4446-8041-7941cee6c767,,,,,Entertain with IFE System
absFunction,880520c2-6bd9-4481-b9da-6ccee7b9d665,,,,,Watch Video on Private Screen
absFunction,1bc70a69-c6ad-4203-abb9-88b644ac0b95,,,,,Watch Video on Cabin Screen
absFunction,65787ee3-ab55-4200-91e3-d772a4ee3f28,,,,,Select Passenger Service
absFunction,4dbd5747-9662-4378-88cf-270b69ef3827,,,,,Command VOD Service
absFunction,e04025f9-6b52-4377-bac1-78d0bf2f8fed,,,,,Listen to Audio Announcement
absFunction,7de3b04b-6291-4098-afbd-2fb72cd25022,,,,,Provide Aircraft Information, Commands and Means
absFunction,82ab0ab9-2c03-4689-989a-530aae6fcf94,,,,,Provide Satellite Communication Means
absFunction,6ce8f26a-ef90-4420-94e1-acf6b2393720,,,,,Provide Navigation Data
absFunction,135e77a7-79ef-45e8-b138-67e283a14cdd,,,,,Provide Electrical Power
absFunction,dacbebb6-72c7-4d4c-9009-aa95eba16dd3,,,,,Provide Exterior-View Videos
absFunction,8f279b07-26aa-46f6-8c9a-2a132f0b1177,,,,,Send Audio Announcement
absFunction,6b9e59a9-89f2-497e-a348-3aef80689e61,,,,,Play Sound in Cabin
absFunction,9972b7a8-df8a-4626-b298-1dd0d19e451e,,,,,Send Decompression Notification
absFunction,cd62e8fb-8a89-4f33-bd0f-a2bb935a5e08,,,,,Perform Maintenance, Configuration and Test Operations
absFunction,4d0046b4-4865-438d-b09b-fd95671db09b,,,,,Update Media Content
absFunction,88faafec-6848-4494-8dd3-2acda3e53688,,,,,Configure the System
absFunction,ff70c856-f667-4e61-98d7-00190703d53a,,,,,Launch and Analyze Tests
absFunction,5e0fff47-a1a5-4a13-867c-18348bd894af,,,,,Set Passenger Service Authorization
absFunction,6d10ccfa-1be8-4ab6-a0d8-74941051595b,,,,,IFE System
absFunction,6b54b12a-50f8-4ce5-b935-08edbf655d1f,,,,,Provide Access to Digital Media
absFunction,d683afa5-907e-494d-8f35-e10db839feaf,,,,,Store Digital Media
absFunction,a16d1d72-9db2-4554-af57-411b29793904,,,,,Load Digital Media 
absFunction,8a4b7443-4f73-49c2-a175-940a5d8accea,,,,,Manage Passenger Services Lifecycle
absFunction,b7244d6a-08ab-4455-bbd9-aa5f1bbc9b5b,,,,,Determine Service Availability
absFunction,2c453928-a098-4f8a-a1e6-fc545a2840d1,,,,,Handle Service Activation Requests
absFunction,0bfc000c-dd38-40d3-9cd3-2037905a7ab3,,,,,Run Services
absFunction,26cd71b0-ec92-41a9-b9fb-6878beede810,,,,,Run Video-On-Demand Service
absFunction,5e221dee-8dc7-4a29-9224-ab53fedb3995,,,,,Handle VOD Movie Controls
absFunction,0a2099f5-2831-4beb-89ae-996a6f54d032,,,,,Retrieve VOD Movie Data
absFunction,7b7b0d2c-27e8-4ca0-8a5f-2790a37e97b6,,,,,Run Cabin Intercommunication Service
absFunction,06b8dd9b-2199-4ad1-a9b2-229d1de1bb48,,,,,Handle Imposed Videos Controls
absFunction,6e577fe5-ebd7-409e-b5de-b876fd689851,,,,,Manage Imposed Video Selections
absFunction,00cc4e40-09b1-42c5-b945-32743e1c9968,,,,,Run Gaming Service
absFunction,f44bd6aa-c54a-49d1-8010-e96dab3ad00a,,,,,Run Any Other Service
absFunction,4d8cc764-6c72-49ca-8b5e-c57104345aac,,,,,Run Airline Channel Service
absFunction,ba4d638d-e6bb-4908-94f4-eb974405c733,,,,,Manage Video and Audio Diffusion
absFunction,e1808524-dfa9-4883-a809-c44a87712d1b,,,,,Broadcast Audio Video Streams
absFunction,d8b8c1bd-a2ea-47fd-a7a9-0239408db1a5,,,,,Manage Passenger Service Interruptions
absFunction,3f8567f2-5389-42c0-84a9-8a1360dc9572,,,,,Determine Operating Profiles
absFunction,bca11666-f58a-41e4-9a16-5964771b55b0,,,,,Perform Cabin Management Activities
