FactType,Param1,Param2,AID,L,R,TID,const,label,name,owneeLowerMult,owneeUpperMult,ownerLowerMult,ownerUpperMult,returnType,static,type,typeID,visibility,visiblity
Class,_10_0EAPbeta2_8740266_1126079718593_382413_6142,,,,,,,Date,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126083768609_363665_4009,,,,,,,List,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126506321203_321713_1,,,,,,,Hashtable,,,,,,,,,,,
Class,egiva_1022741650526_549509_350,,,,,,,ArrayIndexOutOfBoundsException,,,,,,,,,,,
Class,egiva_1022741650526_916020_383,,,,,,,IllegalArgumentException,,,,,,,,,,,
Class,egiva_1022741650526_699822_266,,,,,,,Runtime,,,,,,,,,,,
Class,egiva_1022741650516_499059_216,,,,,,,Package,,,,,,,,,,,
Class,egiva_1022741650526_475363_332,,,,,,,Error,,,,,,,,,,,
Class,egiva_1022741650526_114497_379,,,,,,,Thread,,,,,,,,,,,
Class,egiva_1022741650526_855254_329,,,,,,,UnsatisfiedLinkError,,,,,,,,,,,
Class,egiva_1022741650526_291640_306,,,,,,,Short,,,,,,,,,,,
Class,egiva_1022741650526_119663_261,,,,,,,SystemClassLoaderAction,,,,,,,,,,,
Class,egiva_1022741650526_711449_314,,,,,,,InheritableThreadLocal,,,,,,,,,,,
Class,egiva_1022741650526_962152_356,,,,,,,Number,,,,,,,,,,,
Class,egiva_1022741650526_984551_278,,,,,,,String,,,,,,,,,,,
Class,egiva_1022741650526_867478_335,,,,,,,IllegalAccessException,,,,,,,,,,,
Class,egiva_1022741650526_938319_311,,,,,,,NoSuchMethodError,,,,,,,,,,,
Class,egiva_1022741650526_784803_322,,,,,,,AbstractMethodError,,,,,,,,,,,
Class,egiva_1022741650526_927735_325,,,,,,,Byte,,,,,,,,,,,
Class,egiva_1022741650526_844594_368,,,,,,,AssertionStatusDirectives,,,,,,,,,,,
Class,egiva_1022741650526_273107_357,,,,,,,Boolean,,,,,,,,,,,
Class,egiva_1022741650526_835943_277,,,,,,,StringCoding,,,,,,,,,,,
Class,egiva_1022741650526_983517_242,,,,,,,UnsupportedClassVersionError,,,,,,,,,,,
Class,egiva_1022741650526_326206_290,,,,,,,Void,,,,,,,,,,,
Class,egiva_1022741650526_636953_381,,,,,,,Integer,,,,,,,,,,,
Class,egiva_1022741650526_464727_336,,,,,,,RuntimePermission,,,,,,,,,,,
Class,egiva_1022741650526_381031_301,,,,,,,ClassFormatError,,,,,,,,,,,
Class,egiva_1022741650526_876187_286,,,,,,,FloatingDecimal,,,,,,,,,,,
Class,egiva_1022741650526_896815_375,,,,,,,ThreadGroup,,,,,,,,,,,
Class,egiva_1022741650516_998867_218,,,,,,,Process,,,,,,,,,,,
Class,egiva_1022741650526_373729_355,,,,,,,Character,,,,,,,,,,,
Class,egiva_1022741650526_724101_377,,,,,,,Math,,,,,,,,,,,
Class,egiva_1022741650526_444637_265,,,,,,,Compiler,,,,,,,,,,,
Class,egiva_1022741650526_462027_228,,,,,,,NumberFormatException,,,,,,,,,,,
Class,egiva_1022741650526_184495_347,,,,,,,ClassNotFoundException,,,,,,,,,,,
Class,egiva_1022741650526_897053_327,,,,,,,IllegalStateException,,,,,,,,,,,
Class,egiva_1022741650887_798135_762,,,,,,,SoftReference,,,,,,,,,,,
Class,egiva_1022741651728_639740_1728,,,,,,,Reference,,,,,,,,,,,
Class,egiva_1022741651728_523785_1734,,,,,,,FinalReference,,,,,,,,,,,
Class,egiva_1022741651728_306782_1731,,,,,,,PhantomReference,,,,,,,,,,,
Class,egiva_1022741651728_275292_1729,,,,,,,Finalizer,,,,,,,,,,,
Class,egiva_1022741651728_553521_1726,,,,,,,ReferenceQueue,,,,,,,,,,,
Class,egiva_1022741651728_635498_1732,,,,,,,WeakReference,,,,,,,,,,,
Class,egiva_1022741650516_973296_214,,,,,,,Float,,,,,,,,,,,
Class,egiva_1022741650526_627986_370,,,,,,,FDBigInt,,,,,,,,,,,
Class,egiva_1022741650526_986047_342,,,,,,,VirtualMachineError,,,,,,,,,,,
Class,egiva_1022741650526_477410_233,,,,,,,InstantiationException,,,,,,,,,,,
Class,egiva_1022741650526_386628_334,,,,,,,StrictMath,,,,,,,,,,,
Class,egiva_1022741650526_834578_300,,,,,,,StackOverflowError,,,,,,,,,,,
Class,egiva_1022741650526_248886_386,,,,,,,Exception,,,,,,,,,,,
Class,egiva_1022741650526_607143_295,,,,,,,IndexOutOfBoundsException,,,,,,,,,,,
Class,egiva_1022741650526_462360_365,,,,,,,ClassCircularityError,,,,,,,,,,,
Class,egiva_1022741650526_25323_235,,,,,,,StackTraceElement,,,,,,,,,,,
Class,egiva_1022741650526_985485_251,,,,,,,ClassLoader,,,,,,,,,,,
Class,egiva_1022741650526_144799_308,,,,,,,Win32Process,,,,,,,,,,,
Class,egiva_1022741650526_925823_298,,,,,,,SecurityException,,,,,,,,,,,
Class,egiva_1022741650526_656159_237,,,,,,,Long,,,,,,,,,,,
