FactType,Param1,Param2,G,R,Region,SM,effect,eid,eventId,guardVal,label,name,parent,signalId,transID,trigger,type
StateMachine,OLDID+1424988+107,,,,,,,,,,,statechart_22,,,,,
StateMachine,GUID+3c06b60b-2887-11d3-ac08-0010a4f1d0f6,,,,,,,,,,,statechart_16,,,,,
StateMachine,OLDID+1424988+246,,,,,,,,,,,statechart_1,,,,,
StateMachine,OLDID+1424988+447,,,,,,,,,,,statechart_23,,,,,
Region,_mapNgJlbEeqp3LAywGB6vQ,,,,,OLDID+1424988+107,,,,,,ROOT,,,,,
Region,_mapNgplbEeqp3LAywGB6vQ,,,,,OLDID+1424988+107,,,,,,,,,,,
Region,_mapNhJlbEeqp3LAywGB6vQ,,,,,OLDID+1424988+107,,,,,,armingDisarmingReprogramming,,,,,
Region,_mapNh5lbEeqp3LAywGB6vQ,,,,,OLDID+1424988+107,,,,,,reprogramming,,,,,
Region,_mapNsZlbEeqp3LAywGB6vQ,,,,,OLDID+1424988+107,,,,,,,,,,,
Region,_mapNs5lbEeqp3LAywGB6vQ,,,,,OLDID+1424988+107,,,,,,codeEntry,,,,,
Region,_mapNtZlbEeqp3LAywGB6vQ,,,,,OLDID+1424988+107,,,,,,currentCode,,,,,
Region,_mapN75lbEeqp3LAywGB6vQ,,,,,GUID+3c06b60b-2887-11d3-ac08-0010a4f1d0f6,,,,,,ROOT,,,,,
Region,_mapN8ZlbEeqp3LAywGB6vQ,,,,,GUID+3c06b60b-2887-11d3-ac08-0010a4f1d0f6,,,,,,,,,,,
Region,_mapN85lbEeqp3LAywGB6vQ,,,,,GUID+3c06b60b-2887-11d3-ac08-0010a4f1d0f6,,,,,,mode,,,,,
Region,_mapOBplbEeqp3LAywGB6vQ,,,,,GUID+3c06b60b-2887-11d3-ac08-0010a4f1d0f6,,,,,,,,,,,
Region,_mapOCJlbEeqp3LAywGB6vQ,,,,,GUID+3c06b60b-2887-11d3-ac08-0010a4f1d0f6,,,,,,flashMode,,,,,
Region,_mapOIZlbEeqp3LAywGB6vQ,,,,,OLDID+1424988+246,,,,,,ROOT,,,,,
Region,_mapOJJlbEeqp3LAywGB6vQ,,,,,OLDID+1424988+246,,,,,,,,,,,
Region,_mapOJplbEeqp3LAywGB6vQ,,,,,OLDID+1424988+246,,,,,,downstairs,,,,,
Region,_mapOMZlbEeqp3LAywGB6vQ,,,,,OLDID+1424988+246,,,,,,,,,,,
Region,_mapOM5lbEeqp3LAywGB6vQ,,,,,OLDID+1424988+246,,,,,,upstairs,,,,,
Region,_map0JJlbEeqp3LAywGB6vQ,,,,,OLDID+1424988+447,,,,,,ROOT,,,,,
Region,_map0J5lbEeqp3LAywGB6vQ,,,,,OLDID+1424988+447,,,,,,armed,,,,,
Region,_map0K5lbEeqp3LAywGB6vQ,,,,,OLDID+1424988+447,,,,,,active,,,,,
Sibling,_mapNgplbEeqp3LAywGB6vQ,_mapNsZlbEeqp3LAywGB6vQ,,,,,,,,,,,OLDID+1424988+109,,,,
Sibling,_mapN8ZlbEeqp3LAywGB6vQ,_mapOBplbEeqp3LAywGB6vQ,,,,,,,,,,,GUID+3c06b60f-2887-11d3-ac08-0010a4f1d0f6,,,,
Sibling,_mapOJJlbEeqp3LAywGB6vQ,_mapOMZlbEeqp3LAywGB6vQ,,,,,,,,,,,OLDID+1424988+257,,,,
State,OLDID+1424988+109,,,_mapNgJlbEeqp3LAywGB6vQ,,,,,,,active,,,,,,State
State,OLDID+1424988+157,,,_mapNgplbEeqp3LAywGB6vQ,,,,,,,armingDisarmingReprogramming,,,,,,State
State,OLDID+1424988+161,,,_mapNhJlbEeqp3LAywGB6vQ,,,,,,,idle,,,,,,State
State,OLDID+1424988+177,,,_mapNhJlbEeqp3LAywGB6vQ,,,,,,,reprogramming,,,,,,State
State,OLDID+1424988+163,,,_mapNhJlbEeqp3LAywGB6vQ,,,,,,,conditionconnector_1,,,,,,Pseudostate
State,GUID+83d89792-8d14-48e1-b5dd-096c97124b96,,,_mapNhJlbEeqp3LAywGB6vQ,,,,,,,junctionconnector_1,,,,,,Pseudostate
State,_mapNlJlbEeqp3LAywGB6vQ,,,_mapNhJlbEeqp3LAywGB6vQ,,,,,,,ROOT,,,,,,Pseudostate
State,OLDID+1424988+195,,,_mapNh5lbEeqp3LAywGB6vQ,,,,,,,waitNewCode,,,,,,State
State,OLDID+1424988+186,,,_mapNh5lbEeqp3LAywGB6vQ,,,,,,,waitOldCode,,,,,,State
State,OLDID+1424988+188,,,_mapNh5lbEeqp3LAywGB6vQ,,,,,,,conditionconnector_2,,,,,,Pseudostate
State,_mapNi5lbEeqp3LAywGB6vQ,,,_mapNh5lbEeqp3LAywGB6vQ,,,,,,,ROOT,,,,,,Pseudostate
